순서,식품분류기준대분류,식품분류기준중분류,식품분류기준소분류,요오드-131,세슘-134,세슘-137
1,폐기물,폐기물,폐기물,불검출,불검출,불검출
2,폐기물,폐기물,폐기물,불검출,불검출,불검출
3,폐기물,폐기물,폐기물,불검출,불검출,불검출
4,폐기물,폐기물,폐기물,불검출,불검출,불검출
5,폐기물,폐기물,폐기물,불검출,불검출,불검출
6,수산물,어류,고등어,불검출,불검출,불검출
7,수산물,어류,삼치,불검출,불검출,불검출
8,수산물,어류,대구,불검출,불검출,불검출
9,수산물,연체동물,오징어,불검출,불검출,불검출
10,수산물,어류,고등어,불검출,불검출,불검출
11,수산물,어류,삼치,불검출,불검출,불검출
12,수산물,어류,대구,불검출,불검출,불검출
13,수산물,어류,동태,불검출,불검출,불검출
14,수산물,어류,임연수,불검출,불검출,불검출
15,수산물,어류,가자미,불검출,불검출,불검출
16,수산물,어류,코다리,불검출,불검출,불검출
17,수산물,어류,갈치,불검출,불검출,불검출
18,수산물,연체동물,오징어,불검출,불검출,불검출
19,수산물,연체동물,낙지,불검출,불검출,불검출
20,가공식품,소금,소금,불검출,불검출,불검출
21,가공식품,소금,소금,불검출,불검출,불검출
22,가공식품,소금,소금,불검출,불검출,불검출
23,가공식품,소금,소금,불검출,불검출,불검출
25,폐기물,폐기물,폐기물,불검출,불검출,불검출
26,폐기물,폐기물,폐기물,불검출,불검출,불검출
27,폐기물,폐기물,폐기물,불검출,불검출,불검출
28,폐기물,폐기물,폐기물,불검출,불검출,불검출
29,수산물,연체동물,오징어,불검출,불검출,불검출
30,수산물,어류,고등어,불검출,불검출,불검출
31,수산물,어류,꽁치,불검출,불검출,불검출
32,수산물,어류,대구,불검출,불검출,불검출
33,수산물,어류,가자미,불검출,불검출,불검출
34,수산물,어류,참조기,불검출,불검출,불검출
35,수산물,어류,고등어,불검출,불검출,불검출
36,수산물,어류,갈치,불검출,불검출,불검출
37,수산물,어류,가자미,불검출,불검출,불검출
38,수산물,어류,대구,불검출,불검출,불검출
39,수산물,어류,코다리,불검출,불검출,불검출
40,수산물,어류,코다리살,불검출,불검출,불검출
41,수산물,어류,동태,불검출,불검출,불검출
42,수산물,어류,임연수,불검출,불검출,불검출
